0,1,2,3,4,5,6,7,8,9,10,11
-50.65083,-50.696026,-50.702988,-50.676067,-50.64576,-50.57322,-50.432346,-50.31808,-50.158268,-49.946873,-49.870335,-49.848625
-62.549896,-62.581394,-62.589542,-62.542286,-62.533993,-62.48269,-62.45401,-62.42348,-62.3774,-62.23367,-61.863243,-61.46615
-42.91179,-42.878883,-42.877754,-42.86719,-42.79447,-42.63501,-42.41437,-42.407642,-42.39672,-42.404495,-42.477535,-42.50173
-40.451923,-40.48268,-40.58296,-40.63869,-40.67306,-40.594727,-40.45272,-40.373447,-40.35646,-40.345505,-40.351334,-40.33014
-37.258785,-37.16337,-37.096455,-36.96862,-36.83319,-36.76205,-36.743317,-36.73461,-36.718884,-36.698254,-36.615246,-36.521866
7.916875,7.974669,8.004845,8.076012,8.105951,8.175272,8.321792,8.401742,8.45262,8.476463,8.4838505,8.4739685
-35.352825,-35.278664,-35.277767,-35.267414,-35.247303,-35.13226,-35.06429,-35.027435,-35.00601,-34.99269,-34.98038,-34.95718
-41.68098,-41.465435,-41.374138,-41.31145,-41.22188,-41.102467,-40.902863,-40.71905,-40.65847,-40.63635,-40.62055,-40.614098
-43.04193,-42.862415,-42.664276,-42.543755,-42.48317,-42.398838,-42.248363,-42.11654,-42.039562,-41.991825,-42.0092,-42.007915
-27.458548,-27.160175,-26.960306,-26.830933,-26.615936,-26.460472,-26.381142,-26.373167,-26.36595,-26.367798,-26.362663,-26.367847
-29.450579,-29.407743,-29.38153,-29.37101,-29.389908,-29.411985,-29.430748,-29.449512,-29.462116,-29.46317,-29.472424,-29.473383
-24.256927,-24.165667,-24.080906,-24.019806,-24.073345,-24.027641,-23.914207,-23.88269,-23.868855,-23.888304,-23.90511,-23.895615
-16.217775,-16.049425,-15.918704,-15.878757,-15.826393,-15.762797,-15.676315,-15.561874,-15.49576,-15.473703,-15.472197,-15.474035
-1.1048089,-1.2194965,-1.1691434,-1.1961612,-1.223438,-1.2237858,-1.1161168,-1.0148318,-0.9565582,-0.88002896,-0.8100374,-0.745934
-15.655796,-15.582571,-15.518763,-15.473523,-15.435545,-15.402044,-15.261634,-15.127439,-15.07648,-15.065296,-15.031938,-14.929815
-13.317051,-13.330358,-13.2878065,-13.258498,-13.317768,-13.271657,-13.190716,-13.133411,-13.102764,-13.012858,-12.878226,-12.821266
20.777657,20.701168,20.717274,20.721273,20.740263,20.755325,20.774765,20.791525,20.842056,21.041733,21.466553,21.640526
-9.306408,-9.206493,-9.126665,-8.99618,-8.896867,-8.861332,-8.822522,-8.841059,-8.843536,-8.864071,-8.8948145,-8.904615
4.3170056,4.211817,4.2479978,4.2241054,4.2768507,4.2883515,4.3130665,4.32436,4.3673706,4.3305364,4.420574,4.4283156
-13.853954,-13.8295765,-13.687698,-13.609524,-13.572323,-13.519982,-13.520652,-13.521435,-13.517263,-13.544443,-13.562718,-13.576346
-13.9355755,-14.059178,-14.106095,-13.993307,-14.008334,-14.033375,-13.919031,-13.884838,-13.938707,-13.879501,-13.684798,-13.431976
